Player,Salary_2025_26
Tristan Da Silva,3809520.0
Gary Trent Jr.,3697105.0
Brandin Podziemski,3687960.0
Svi Mykhailiuk,3675000.0
Kasparas Jakucionis,3658800.0
Player,
Ja'Kobe Walter,3638160.0
Gary Harris,3634153.0
Cam Whitmore,3539760.0
Will Riley,3512520.0
Jaylon Tyson,3492480.0
P.J. Tucker,3468960.0
Jaxson Hayes,3449323.0
Noah Clowney,3398640.0
Drake Powell,3372240.0
Yves Missi,3353040.0
Taurean Prince,3303774.0
Dariq Whitehead,3262560.0
Asa Newell,3237480.0
DaRon Holmes,3218760.0
Kris Murray,3132000.0
Nique Clifford,3108120.0
Nassir Little,3107143.0
AJ Johnson,3090480.0
De'Anthony Melton,3080921.0
Shake Milton,3000000.0
Player,
Kyle Filipowski,3000000.0
Ajay Mitchell,3000000.0
Julian Champagnie,3000000.0
Jase Richardson,2983320.0
Kyshawn George,2966760.0
Tony Bradley,2940876.0
Marcus Sasser,2886720.0
Ben Saraf,2884560.0
Pacome Dadiet,2847600.0
Danny Wolf,2801280.0
Ben Sheppard,2790720.0
Hugo González,2783880.0
Liam McNeeley,2763960.0
Dillon Jones,2753280.0
Yanic Konan Niederhauser,2743800.0
Nick Smith Jr.,2710680.0
Brice Sensabaugh,2693760.0
Julian Strawther,2674200.0
Terrence Shannon Jr.,2674080.0
Ryan Dunn,2657760.0
Player,
Kobe Brown,2654880.0
Isaiah Collier,2638200.0
Baylor Scheierman,2619000.0
Xavier Tillman Sr.,2546675.0
Chuma Okeke,2546675.0
Cam Spencer,2537989.0
Luka Garza,2461463.0
Sandro Mamukelashvili,2461463.0
Trendon Watford,2461463.0
Jericho Sims,2461463.0
Dru Smith,2378870.0
Josh Minott,2378870.0
Justin Champagnie,2349578.0
Jordan Goodwin,2349578.0
Jay Huff,2349578.0
Keon Johnson,2349578.0
Neemias Queta,2349578.0
Vit Krejci,2349578.0
Keon Ellis,2301587.0
A.J. Green,2301587.0
Player,
Vince Williams Jr.,2301587.0
Anthony Gill,2296274.0
Marvin Bagley III,2296274.0
Garrett Temple,2296274.0
Bismack Biyombo,2296274.0
Lindy Waters III,2296274.0
Jordan McLaughlin,2296274.0
Doug McDermott,2296274.0
Drew Eubanks,2296274.0
Blake Wesley,7022602.0
Collin Gillespie,2296274.0
Kyle Lowry,2296274.0
Eric Gordon,2296274.0
Landry Shamet,2296274.0
Jordan Clarkson,16581988.0
Bones Hyland,2296274.0
Joe Ingles,2296274.0
Thanasis Antetokounmpo,2296274.0
Amir Coffey,2296274.0
Cole Anthony,15396274.0
Player,
Precious Achiuwa,
Jock Landale,10296274.0
Chris Paul,2296274.0
Josh Okogie,2296274.0
Jeff Green,2296274.0
Aaron Holiday,2296274.0
Jae'Sean Tate,2296274.0
Gary Payton II,2296274.0
Javonte Green,2296274.0
Tim Hardaway Jr.,2296274.0
Bruce Brown,2296274.0
Dante Exum,2296274.0
Thomas Bryant,2296274.0
Larry Nance Jr.,2296274.0
Mason Plumlee,2296274.0
Chris Boucher,2296274.0
Scotty Pippen Jr.,2270735.0
JD Davison,2270735.0
Brandon Williams,2270735.0
Moussa Diabaté,2270735.0
Player,
Rayan Rupert,2221677.0
Toumani Camara,2221677.0
Ricky Council IV,2221677.0
GG Jackson II,2221677.0
Gui Santos,2221677.0
Jalen Pickett,2221677.0
Hunter Tyson,2221677.0
Julian Phillips,2221677.0
Jalen Wilson,2221677.0
Jordan Walsh,2221677.0
Duop Reath,2221677.0
Leonard Miller,2221677.0
Andre Jackson Jr.,2221677.0
Trayce Jackson-Davis,2221677.0
Craig Porter Jr.,2221677.0
Mouhamed Gueye,2221677.0
JaVale McGee,2208856.0
Tyler Kolek,2191897.0
Jaylen Clark,2191897.0
Tyrese Martin,2191897.0
Player,
Justin Edwards,2048494.0
Nigel Hayes-Davis,2048494.0
N'Faly Dante,2048494.0
Tyler Smith,1955377.0
Johnny Furphy,1955377.0
Jonathan Mogbo,1955377.0
Jamal Shead,1955377.0
Oso Ighodaro,1955377.0
Ariel Hukporti,1955377.0
Karlo Matković,1955377.0
Keshad Johnson,1955377.0
Jaylen Wells,1955377.0
Bronny James,1955377.0
Cam Christie,1955377.0
Quinten Post,1955377.0
Isaac Jones,1955377.0
Bobi Klintman,1955377.0
Drew Timme,1955377.0
Jamison Battle,1955377.0
Adem Bona,1955377.0
Player,
Pelle Larsson,1955377.0
Olivier-Maxence Prosper,1002360.0
James Wiseman,1000000.0
E.J. Liddell,706898.0
Mamadi Diakite,464050.0
Ricky Rubio,424672.0
Didi Louzada,268032.0
Jaden Springer,70732.0
